Index,GeoFips,2001,2002,2003,2004,2005,Average
290,40140,3377365.0,3486938.0,3617771.0,3755607.0,3875709.0,3622678.0
291,40220,289547.0,290466.0,292082.0,293745.0,296405.0,292449.0
292,40340,187803.0,190646.0,193067.0,195300.0,197188.0,192800.8
293,40380,1068215.0,1070355.0,1071918.0,1072494.0,1070418.0,1070680.0
294,40420,323229.0,325747.0,329472.0,332230.0,335903.0,329316.2
295,40580,144034.0,144698.0,145487.0,146326.0,147027.0,145514.4
296,40660,91181.0,92597.0,93539.0,94014.0,94332.0,93132.6
297,40900,1866310.0,1923508.0,1970542.0,2008663.0,2034850.0,1960774.6
298,40980,209460.0,209323.0,208755.0,208489.0,207368.0,208679.0
299,41060,170587.0,173123.0,175161.0,176860.0,179222.0,174990.6
300,41100,94512.0,99274.0,104188.0,110207.0,119000.0,105436.2
301,41140,123936.0,123894.0,123923.0,123366.0,123484.0,123720.6
302,41180,2690131.0,2700121.0,2711031.0,2721868.0,2730316.0,2710693.4
303,41420,351581.0,356668.0,360377.0,363708.0,368046.0,360076.0
304,41500,407082.0,408977.0,409725.0,408731.0,405139.0,407930.8
305,41540,319128.0,325063.0,332157.0,338528.0,345704.0,332116.0
306,41620,954081.0,963150.0,971454.0,982034.0,997221.0,973588.0
307,41660,105596.0,105732.0,106002.0,106373.0,106587.0,106058.0
308,41700,1748123.0,1784153.0,1815846.0,1857602.0,1896328.0,1820410.4
309,41740,2869672.0,2900355.0,2914702.0,2930007.0,2938375.0,2910622.2
310,41860,4174788.0,4158544.0,4145965.0,4133400.0,4137858.0,4150111.0
311,41940,1742726.0,1724404.0,1718790.0,1718016.0,1729959.0,1726779.0
312,42020,251462.0,253083.0,254674.0,256842.0,258615.0,254935.2
313,42100,256045.0,254531.0,253021.0,252356.0,251377.0,253466.0
314,42140,131057.0,133555.0,135213.0,136391.0,137610.0,134765.2
315,42200,403164.0,405178.0,406810.0,407284.0,408079.0,406103.0
316,42220,465293.0,465298.0,466489.0,466809.0,465938.0,465965.4
317,42340,297133.0,301644.0,304585.0,310553.0,314528.0,305688.6
318,42540,557476.0,555702.0,555483.0,555495.0,556652.0,556161.6
319,42660,3092927.0,3118302.0,3133021.0,3158967.0,3198265.0,3140296.4
320,42680,115456.0,118144.0,120450.0,125001.0,127955.0,121401.2
321,42700,88510.0,89939.0,90943.0,93079.0,95614.0,91617.0
322,43100,113023.0,113251.0,113433.0,113832.0,114454.0,113598.6
323,43300,112330.0,113239.0,114421.0,114998.0,115666.0,114130.8
324,43340,417622.0,417953.0,418234.0,421695.0,424302.0,419961.2
325,43420,118798.0,119847.0,120638.0,123234.0,125786.0,121660.6
326,43580,167040.0,166544.0,166232.0,166178.0,164840.0,166166.8
327,43620,191693.0,194442.0,197813.0,202328.0,206605.0,198576.2
328,43780,316897.0,316678.0,316545.0,316831.0,317221.0,316834.4
329,43900,286282.0,288166.0,289742.0,291107.0,293722.0,289803.8
330,44060,474933.0,479375.0,483328.0,488534.0,494408.0,484115.6
331,44100,202427.0,203281.0,203901.0,204526.0,204988.0,203824.6
332,44140,609075.0,612241.0,615294.0,615860.0,616530.0,613800.0
333,44180,375215.0,380529.0,387040.0,394660.0,402883.0,388065.4
334,44220,143803.0,143229.0,141758.0,141380.0,141367.0,142307.4
335,44300,137620.0,140821.0,142926.0,144238.0,145543.0,142229.6
336,44420,109602.0,110436.0,111549.0,112751.0,114085.0,111684.6
337,44700,591207.0,609041.0,626778.0,642898.0,656985.0,625381.8
338,44940,104629.0,105380.0,105112.0,106099.0,106082.0,105460.4
339,45060,650697.0,652241.0,655091.0,656149.0,655021.0,653839.8
340,45220,324386.0,327940.0,334289.0,339179.0,344257.0,334010.2
341,45300,2444015.0,2487445.0,2529652.0,2587771.0,2651580.0,2540092.6
342,45460,170497.0,170055.0,170438.0,170001.0,170634.0,170325.0
343,45500,142882.0,143149.0,143582.0,143996.0,144534.0,143628.6
344,45540,55793.0,59539.0,61934.0,64456.0,69261.0,62196.6
345,45780,619037.0,618721.0,619006.0,618181.0,616819.0,618352.8
346,45820,225090.0,225355.0,226153.0,227155.0,228208.0,226392.2
347,45940,353816.0,355935.0,358724.0,361248.0,362015.0,358347.6
348,46060,859280.0,874267.0,885893.0,901342.0,920298.0,888216.0
349,46140,867602.0,874844.0,877577.0,878004.0,882861.0,876177.6
350,46220,205692.0,206365.0,207368.0,209105.0,212545.0,208215.0
351,46340,177836.0,181107.0,184254.0,187300.0,191362.0,184371.8
352,46520,882755.0,890473.0,894311.0,907997.0,918181.0,898743.4
353,46540,298521.0,298049.0,298323.0,298986.0,298574.0,298490.6
354,46660,119736.0,121305.0,121850.0,124387.0,126411.0,122737.8
355,46700,404209.0,408226.0,408409.0,409301.0,408181.0,407665.2
356,47020,91511.0,91624.0,91809.0,91789.0,91523.0,91651.2
357,47220,146451.0,147294.0,148437.0,149837.0,152022.0,148808.2
358,47260,1593489.0,1608368.0,1616332.0,1642657.0,1649013.0,1621971.8
359,47300,373171.0,379568.0,388743.0,398226.0,407970.0,389535.6
360,47380,233379.0,234661.0,236830.0,239419.0,240784.0,237014.6
361,47460,59106.0,59661.0,60111.0,60679.0,60543.0,60020.0
