ID Code,FIPS,U.S. Regional Title,Patents 2001,Patents 2002,Patents 2003,Patents 2004,Patents 2005,Average Patents,Population 2000,Population 2006,Average Population,,AVG. PATENT INTENSITY,LN PATENT INTENSITY,AVG. GDP/CAPITA,LN AVG. GDP/CAPITA
127140,27140,"Jackson, MS",32,20,37,28,23,28,155084,530031,342557.5,,8.173810236,2.100935169,43878.8,10.68918657
127180,27180,"Jackson, TN",20,23,29,21,32,25,583845,112048,347946.5,,7.185012638,1.971997279,39348,10.58020043
127260,27260,"Jacksonville, FL",106,114,132,124,106,116.4,89143,1276856,682999.5,,17.04247221,2.835708594,42494.2,10.65712288
127340,27340,"Jacksonville, NC",1,5,1,4,2,2.6,125834,150673,138253.5,,1.880603384,0.631592674,42137.8,10.64870048
127500,27500,"Janesville, WI",33,24,21,18,17,22.6,1025598,159153,592375.5,,3.815147655,1.338979368,31308.6,10.3516481
127620,27620,"Jefferson City, MO",8,6,5,5,4,5.6,843746,144027,493886.5,,1.133863752,0.12563105,40258.2,10.60306899
127740,27740,"Johnson City, TN",28,47,33,15,19,28.4,208780,191136,199958,,14.20298263,2.653451987,28935.8,10.27283486
127780,27780,"Johnstown, PA",9,8,14,9,4,8.8,403070,146967,275018.5,,3.199784742,1.163083539,28455.4,10.25609323
127860,27860,"Jonesboro, AR",5,3,8,4,4,4.8,591932,113547,352739.5,,1.360777571,0.30805628,35724.8,10.4836004
127900,27900,"Joplin, MO",26,24,27,33,11,24.2,426526,168552,297539,,8.133387556,2.09597751,33932,10.4321138
128020,28020,"Kalamazoo-Portage, MI",113,104,103,101,111,106.4,296195,319738,307966.5,,34.54921233,3.542384752,38785.8,10.56580948
128100,28100,"Kankakee-Bradley, IL",10,10,7,10,21,11.6,141627,109090,125358.5,,9.253461074,2.224997652,28317.8,10.25124586
128140,28140,"Kansas City, MO-KS",230,308,298,321,286,288.6,5819100,1966790,3892945,,7.41341067,2.003290613,52894.2,10.87604897
128420,28420,"Kennewick-Pasco-Richland, WA",56,65,93,74,64,70.4,1088514,226033,657273.5,,10.7109141,2.371263231,40719.2,10.614455
128660,28660,"Killeen-Temple-Fort Hood, TX",20,19,16,17,16,17.6,1083346,355958,719652,,2.445626497,0.894301326,36831.8,10.51411688
128700,28700,"Kingsport-Bristol-Bristol, TN-VA",122,122,101,84,53,96.4,311121,302660,306890.5,,31.41185537,3.447185381,32724.4,10.39587626
128740,28740,"Kingston, NY",70,76,62,71,58,67.4,103459,182742,143100.5,,47.09976555,3.852268023,27022.4,10.20442143
128940,28940,"Knoxville, TN",183,174,167,140,123,157.4,78153,667836,372994.5,,42.19901366,3.742396848,39343.6,10.5800886
129020,29020,"Kokomo, IN",45,46,57,59,50,51.4,101541,100221,100881,,50.95112063,3.930866754,43723,10.68562956
129100,29100,"La Crosse, WI-MN",27,22,26,16,14,21,2968806,129236,1549021,,1.355694984,0.304314226,43458.6,10.67956404
129140,29140,"Lafayette, IN",75,85,80,65,69,74.8,125761,183704,154732.5,,48.34149258,3.878290251,116061.4604,11.66187516
129180,29180,"Lafayette, LA",56,51,53,46,41,49.4,342376,254432,298404,,16.55473787,2.806672337,52292.8,10.86461397
129340,29340,"Lake Charles, LA",19,14,17,10,6,13.2,1188613,189944,689278.5,,1.91504595,0.649741617,58314.6,10.97360777
129420,29420,"Lake Havasu City-Kingman, AZ",16,9,7,7,5,8.8,403070,193035,298052.5,,2.952499979,1.082652262,18088,9.803004014
129460,29460,"Lakeland-Winter Haven, FL",39,31,40,37,19,33.2,114996,561606,338301,,9.813745747,2.28378403,28427.2,10.25510171
129540,29540,"Lancaster, PA",114,92,124,134,102,113.2,679622,494486,587054,,19.28272357,2.959209543,39372.6,10.58082542
129620,29620,"Lansing-East Lansing, MI",79,104,88,56,71,79.6,319426,454044,386735,,20.58256946,3.024444575,40292,10.60390822
129700,29700,"Laredo, TX",1,3,0,1,1,1.2,233450,231470,232460,,0.516217844,-0.661226424,24509,10.10679568
129740,29740,"Las Cruces, NM",16,11,9,8,9,10.6,3251876,193888,1722882,,0.615248171,-0.485729562,28301.4,10.25066655
129820,29820,"Las Vegas-Paradise, NV",156,141,181,169,191,167.6,2945831,1777539,2361685,,7.096628043,1.959619748,44642.6,10.70644384
